Label,X_max,X_min,X_Aver,X_Median,X_Variance,X_StandardDeviation,X_MedianAbsoluteDeviation,X_RootMeanSquare,Y_max,Y_min,Y_Aver,Y_Median,Y_Variance,Y_StandardDeviation,Y_MedianAbsoluteDeviation,Y_RootMeanSquare,Z_max,Z_min,Z_Aver,Z_Median,Z_Variance,Z_StandardDeviation,Z_MedianAbsoluteDeviation,Z_RootMeanSquare,X-Y_max,X-Y_min,X-Y_Aver,X-Y_Median,X-Y_Variance,X-Y_StandardDeviation,X-Y_MedianAbsoluteDeviation,X-Y_RootMeanSquare,Y-Z_max,Y-Z_min,Y-Z_Aver,Y-Z_Median,Y-Z_Variance,Y-Z_StandardDeviation,Y-Z_MedianAbsoluteDeviation,Y-Z_RootMeanSquare,Z-X_max,Z-X_min,Z-X_Aver,Z-X_Median,Z-X_Variance,Z-X_StandardDeviation,Z-X_MedianAbsoluteDeviation,Z-X_RootMeanSquare
4,1.1813507,-2.2003021,-0.307008533,-0.106796265,0.792953743,0.890479502,0.599212645,0.941917184,1.5180511,-4.0030365,-0.714352846,-0.4771881,1.343649375,1.159158908,0.5052185,1.361598092,3.5493927,-3.3976288,0.062730114,-0.11424255,3.084088948,1.756157438,1.09161375,1.757277444,5.006012,-3.4310302,0.407344313,0.04354859,3.296500726,1.815626814,1.027526845,1.860760628,2.2528687,-4.4751891,-0.77708296,-0.11087036,3.216374337,1.793425309,0.9602356,1.954541446,5.1066894,-4.31622316,0.369738647,-0.041625975,6.623694452,2.573653911,1.559448265,2.600077137
4,1.0339508,-1.3661041,-0.442419433,-0.40159607,0.21114384,0.459503907,0.10360717,0.637870516,1.424057,-0.93434143,0.270599366,0.25767517,0.249834647,0.49983462,0.218963622,0.568382498,2.8540497,-1.7078705,0.797084044,0.6836395,1.006812145,1.003400291,0.3759766,1.281466003,1.96829223,-2.4387512,-0.713018799,-0.64111328,0.863518976,0.929257217,0.30441283,1.17128766,0.84402464,-1.8935547,-0.526484678,-0.4345093,0.310030231,0.556803584,0.20721434,0.766300429,4.212677,-2.655304,1.239503477,1.0574646,2.097933786,1.448424588,0.42297362,1.906384708
4,1.6032562,-1.531662,0.069317088,0.06517029,0.708322263,0.841618835,0.70495606,0.844468544,1.7605133,-1.6104584,0.075530108,0.2032013,0.601600503,0.775629102,0.5671692,0.779297954,3.9830475,-2.797348,0.462728163,0.8705597,3.938453235,1.984553661,1.37145997,2.037785707,2.8569641,-3.0571899,-0.006213019,-0.13269043,2.419894655,1.555601059,1.16531373,1.555613466,1.8694152,-2.8815613,-0.387198055,-0.672698978,1.661492052,1.288988771,1.023254408,1.345887954,5.427124,-4.1367797,0.393411075,0.8000488,7.690034868,2.773091212,1.95358276,2.800858287
4,1.184555,-1.0510101,0.036758423,0.039535522,0.299425708,0.547198052,0.428314208,0.548431299,3.6457367,-1.106308,0.160466004,0.010940552,0.764685545,0.874463004,0.464630128,0.889064049,3.395584,-2.9981537,0.470486453,0.30445862,3.009405206,1.734763732,1.57012942,1.797432254,2.2192993,-3.67990113,-0.123707581,0.045684815,1.387094459,1.177749744,0.896148685,1.184228874,2.0606079,-3.8182984,-0.310020448,-0.164276126,1.671567099,1.292890985,0.889740044,1.329541191,3.7427063,-4.1698914,0.43372803,0.2232666,4.588569149,2.14209457,1.84356691,2.185563807
4,1.1215363,-2.6734772,0.007082083,0.079055786,0.579388986,0.761176054,0.488128666,0.761209,4.123184,-2.2908478,-0.014090029,-0.02217102,1.413105648,1.188741203,0.63125612,1.188824704,3.0997162,-2.676651,-4.72E-04,-0.34388733,3.390120579,1.841228009,1.64169313,1.841228069,2.89221194,-4.8356018,0.021172113,0.183471678,3.099551574,1.760554337,1.150360122,1.760681638,2.12042237,-2.21505737,-0.013617933,-0.1001892,1.405920185,1.185715052,0.89935297,1.185793251,4.9881287,-3.4724121,-0.007554179,-0.55645752,6.206237876,2.4912322,2.20993048,2.491243654
4,1.0948334,-3.1381073,-0.056627214,-0.0181427,0.842488455,0.917871699,0.59921265,0.919616821,4.7661896,-1.7813568,0.114580096,-0.12791443,1.833793525,1.354176327,0.73806763,1.35901513,4.219101,-3.3111115,0.032035289,-0.018112183,4.939719604,2.222547998,1.757049583,2.222778861,2.8761902,-5.11117556,-0.17120731,-0.47875976,3.778193882,1.943757671,1.48254393,1.951283123,2.4963989,-2.42333986,0.082544807,-0.10766602,1.879202141,1.37083994,1.06918338,1.373322899,5.6877442,-4.3034057,0.088662503,-0.090759278,8.56674717,2.926900608,2.767486522,2.928243195
4,1.2219391,-2.004837,-0.027193936,-0.010665894,0.40854089,0.639172035,0.220031734,0.639750264,3.897812,-2.3560028,0.108048876,-0.01576233,1.2393585,1.113264793,0.52658083,1.118495892,3.7854462,-3.9957733,0.341912007,0.22541809,3.726716542,1.930470549,1.29455571,1.960515331,3.3728637,-5.4989015,-0.135242812,0.005096435,2.454851044,1.566796427,0.734863275,1.572622543,2.25607304,-3.24685672,-0.233863131,-0.054260256,1.203188125,1.096899323,0.588531456,1.121552535,5.5606384,-5.13974,0.369105943,0.25958252,5.878558087,2.424573795,1.55838018,2.452508366
4,1.015996,-1.2040151,0.082078629,0.48629323,0.493487945,0.702486972,0.45673212,0.707265754,0.84022737,-1.0847056,0.119717084,0.30360037,0.285546736,0.534365732,0.40506679,0.547612012,2.4865935,-2.535862,0.270875453,1.2346416,3.35928407,1.832834982,1.0173274,1.852743258,0.64608289,-0.99762011,-0.037638455,-0.0021306,0.093025469,0.305000769,0.15100132,0.307314371,1.8881812,-2.1060279,-0.151158369,-0.89082745,1.906445906,1.380741071,0.85008125,1.388990554,1.9409119,-1.91294874,0.188796823,0.7400925,1.532222026,1.237829563,0.91319803,1.252144667
4,1.0301107,-1.4080133,0.020414053,0.13102753,0.240737572,0.490650153,0.31691618,0.491074644,1.1558119,-1.5291871,0.012746261,0.16218652,0.520067724,0.721157211,0.66738818,0.721269846,2.6788738,-2.9033782,0.086175676,0.8226505,3.34187105,1.828078513,1.4375744,1.830108548,0.85008104,-2.3963124,0.007667792,0.030626355,0.209896364,0.458144479,0.349673035,0.458208641,1.64689885,-2.19524374,-0.073429416,-0.3374225,1.408273344,1.186706933,1.0988202,1.188976545,2.19231422,-2.20749435,0.065761624,0.44821,2.186615415,1.478720871,1.29003522,1.480182423
4,1.2050804,-1.5158713,0.01880458,0.09640643,0.276190903,0.525538679,0.33902042,0.525875,1.5246598,-1.917476,0.009297096,0.12809806,0.596199395,0.772139492,0.72038509,0.772195461,2.3627565,-2.7619643,0.112971304,0.49508166,2.831014783,1.68256197,1.43890596,1.686350289,1.2229236,-0.9933591,0.009507484,-0.06285057,0.177733585,0.421584612,0.27563723,0.421691804,1.39576275,-1.51134396,-0.103674208,-0.29800774,1.007194779,1.003590942,0.92331806,1.008931673,1.89057815,-2.0674119,0.094166724,0.41039314,1.701072891,1.304251851,1.082575,1.307646842
